Subiect  Stimul  Banda  Canal  PSD  SampEn  RMS  StdDev

1  7  Alpha  FC1 2.9212 1.5087 2.3996 6.8647
1  7  Alpha  FC2 5.2024 1.5073 4.6225 12.9969
1  7  Alpha  Fp1 20.0446 1.3279 7.4158 19.3746
1  7  Alpha  Fp2 8.6369 1.4388 7.9197 20.6127
1  7  Alpha  F3 1.5772 1.5654 1.804 5.3452
1  7  Alpha  F4 0.4302 1.4344 1.7524 4.6561
1  7  Alpha  O1 0.1688 1.5361 0.7428 2.0334
1  7  Alpha  O2 1.7356 1.4395 2.4667 6.3749
1  7  Alpha  P7 9.4956 1.5413 4.1311 10.7622
1  7  Alpha  P8 2.7297 1.5192 5.1743 12.1515
1  7  Alpha  T7 4.3467 1.4438 5.435 14.2845
1  7  Alpha  T8 0.4839 1.5062 1.2939 3.5472
1  7  Beta  Cz 0.6269 0.8414 3.6784 16.6584
1  7  Beta  Fz 0.7963 1.5536 1.3427 4.0275
1  7  Beta  FC1 1.2413 1.7563 1.8277 6.3692
1  7  Beta  FC2 5.0229 1.6408 4.4453 12.8786
1  7  Beta  Fp1 6.1538 1.5621 7.0255 19.5749
1  7  Beta  Fp2 11.7309 1.5946 7.5624 20.9283
1  7  Beta  F3 1.0188 1.6625 1.6735 5.6803
1  7  Beta  F4 0.4024 1.6505 1.676 4.7554
1  7  Beta  O1 0.1084 1.7743 0.605 2.0235
1  7  Beta  O2 0.8445 1.7441 2.3341 6.2733
1  7  Beta  P7 2.5442 1.7338 3.9066 10.9857
1  7  Beta  P8 3.5998 1.6453 4.9425 12.311
1  7  Beta  T7 4.7244 1.6337 5.1728 15.0231
1  7  Beta  T8 0.3033 1.6995 1.0954 3.4906
1  7  Gamma  Cz 0.5402 1.1658 2.3852 12.6001
1  7  Gamma  Fz 0.167 1.8396 1.1646 3.5969
1  7  Gamma  FC1 1.2252 1.9647 1.6054 6.4333
1  7  Gamma  FC2 1.7813 1.8714 3.3165 12.2309
1  7  Gamma  Fp1 6.3499 1.7215 5.2022 18.018
1  7  Gamma  Fp2 6.3512 1.8395 5.6183 19.4175
1  7  Gamma  F3 0.45 1.8765 1.261 5.1791
1  7  Gamma  F4 0.3164 1.9199 1.2472 4.3219
1  7  Gamma  O1 0.0794 2.0327 0.5246 1.7912
1  7  Gamma  O2 0.8471 1.921 1.7283 5.9002
1  7  Gamma  P7 2.5859 1.8501 2.8916 10.3556
1  7  Gamma  P8 2.4681 1.8794 3.6758 11.3914
1  7  Gamma  T7 2.9783 1.9036 3.8358 13.6261
1  7  Gamma  T8 0.2046 1.9012 0.8878 3.2472
1  8  Alpha  Cz 4.2987 0.2654 18.4168 32.3823
1  8  Alpha  Fz 1.9644 1.0235 2.5493 4.9945
1  8  Alpha  FC1 0.6171 1.0679 3.7896 6.3428
1  8  Alpha  FC2 8.6109 0.7808 14.6225 19.5135
1  8  Alpha  Fp1 39.0172 0.755 27.2434 38.8619
1  8  Alpha  Fp2 29.5322 0.7513 27.6628 37.2158
1  8  Alpha  F3 3.2173 0.8057 6.4514 9.2532
1  8  Alpha  F4 1.9292 0.8471 6.2477 8.5831
1  8  Alpha  O1 0.1937 1.0309 1.8315 3.1656
1  8  Alpha  O2 3.6095 0.868 8.5 12.0941
1  8  Alpha  P7 10.1608 0.7567 13.159 20.1593
1  8  Alpha  P8 12.2478 0.7542 16.4623 22.3983
1  8  Alpha  T7 17.0741 0.9066 19.5549 27.65
1  8  Alpha  T8 0.49 0.8728 4.018 6.1673
1  8  Beta  Cz 0.7948 0.3243 16.3139 29.7957
1  8  Beta  Fz 0.3428 1.2443 2.435 4.969
1  8  Beta  FC1 0.8034 1.1686 3.6544 6.1881
1  8  Beta  FC2 1.8672 0.9251 13.9711 19.7987
1  8  Beta  Fp1 7.8356 0.8141 25.91 41.3872
1  8  Beta  Fp2 5.762 0.8227 26.3671 38.5291
1  8  Beta  F3 0.4486 0.9216 6.1627 9.6593
1  8  Beta  F4 0.5693 0.9752 5.9522 8.7876
1  8  Beta  O1 0.4084 1.5351 0.9457 2.3418
1  8  Beta  O2 1.3403 0.9424 8.0898 12.6496
1  8  Beta  P7 2.261 0.8657 12.6501 21.7
1  8  Beta  P8 2.9827 0.8484 15.6869 23.3936
1  8  Beta  T7 5.1745 1.034 18.6189 29.111
1  8  Beta  T8 0.9503 0.9895 3.8289 6.1437
1  8  Gamma  Cz 0.4131 0.6241 10.5545 20.5237
1  8  Gamma  Fz 0.0675 1.4615 1.8031 4.2104
1  8  Gamma  FC1 0.2487 1.5209 2.7579 5.288
1  8  Gamma  FC2 1.2387 1.1923 10.3412 16.1287
1  8  Gamma  Fp1 4.5588 1.0479 19.1525 34.2987
1  8  Gamma  Fp2 3.7537 1.0859 19.4995 31.421
1  8  Gamma  F3 0.24 1.0979 4.5619 7.8894
1  8  Gamma  F4 0.1882 1.2659 4.4008 7.2236
1  8  Gamma  O1 0.0433 1.5618 1.29 2.4444
1  8  Gamma  O2 0.5431 1.2068 5.9827 10.5088
1  8  Gamma  P7 1.3768 1.0934 10.1477 18.2778
1  8  Gamma  P8 1.2574 1.1111 11.6017 19.1068
1  8  Gamma  T7 7.3255 1.2321 13.7627 23.4895
1  8  Gamma  T8 0.0917 1.1887 2.8323 5.2092

1  11  Alpha  Cz 46.0226 0.2421 18.5077 41.7128
1  11  Alpha  Fz 6.0283 1.0106 3.5158 6.3984
1  11  Alpha  FC1 2.2488 1.3682 3.2994 6.1363
1  11  Alpha  FC2 89.0298 0.9498 16.3848 25.7695
1  11  Alpha  Fp1 444.0677 0.6821 34.7699 56.7357
1  11  Alpha  Fp2 354.4234 0.821 32.5132 51.613
1  11  Alpha  F3 23.3784 0.8368 8.3954 13.4888
1  11  Alpha  F4 16.6669 0.8432 7.1733 11.5501
1  11  Alpha  O1 0.3472 1.1806 1.1993 2.7446
1  11  Alpha  O2 40.7023 0.7646 10.4797 16.8846
1  11  Alpha  P7 126.3977 0.7183 17.9177 29.9822
1  11  Alpha  P8 126.3721 0.8119 20.3481 32.039
1  11  Alpha  T7 186.7639 0.7711 23.4042 37.9896
1  11  Alpha  T8 9.349 0.8442 5.1933 8.5538
1  11  Beta  Cz 1.4404 0.3159 16.7344 38.3441
1  11  Beta  Fz 0.4032 1.1757 3.3589 6.3892
1  11  Beta  FC1 1.0477 1.6075 3.142 6.12
1  11  Beta  FC2 2.4051 1.0675 15.6155 26.5494
1  11  Beta  Fp1 12.8995 0.7709 33.2341 58.743
1  11  Beta  Fp2 5.953 0.9019 31.0064 53.4014
1  11  Beta  F3 0.7262 0.9843 8.0103 13.8672
1  11  Beta  F4 0.9036 0.9426 6.8347 12.0007
1  11  Beta  O1 0.2948 1.4012 0.788 2.4512
1  11  Beta  O2 0.933 0.8373 10.0061 17.6011
1  11  Beta  P7 6.1369 0.8005 17.1478 30.8357
1  11  Beta  P8 4.0953 0.903 19.4012 33.1635
1  11  Beta  T7 3.9367 0.867 22.3301 39.0789
1  11  Beta  T8 0.3689 0.9346 4.9628 8.7531
1  11  Gamma  Cz 0.5192 0.6222 11.2069 26.5552
1  11  Gamma  Fz 0.0907 1.4508 2.4882 5.3656
1  11  Gamma  FC1 0.7272 1.887 2.3165 5.4781
1  11  Gamma  FC2 2.1469 1.3497 11.5315 22.0558
1  11  Gamma  Fp1 4.9328 1.0158 24.6122 48.3058
1  11  Gamma  Fp2 4.812 1.1936 22.9165 44.04
1  11  Gamma  F3 0.3659 1.254 5.9242 11.4302
1  11  Gamma  F4 0.2514 1.1833 5.0496 9.8911
1  11  Gamma  O1 0.0498 1.7656 0.8442 2.2726
1  11  Gamma  O2 0.5277 1.0711 7.406 14.4226
1  11  Gamma  P7 2.0069 1.0458 12.712 25.5028
1  11  Gamma  P8 2.1423 1.1699 14.3397 27.1815
1  11  Gamma  T7 2.2218 1.1338 16.5132 32.2819
1  11  Gamma  T8 0.2231 1.2019 3.6728 7.2651

1  13  Alpha  Cz 2.0273 1.1318 5.4326 10.0028
1  13  Alpha  Fz 1.1724 1.4031 1.6512 3.9707
1  13  Alpha  FC1 4.9317 1.0908 5.478 9.2449
1  13  Alpha  FC2 18.9016 1.167 8.9662 15.9774
1  13  Alpha  Fp1 23.227 1.5613 7.7618 17.61
1  13  Alpha  Fp2 46.8487 1.2812 12.968 23.4355
1  13  Alpha  F3 3.5508 1.3271 3.4206 6.6303
1  13  Alpha  F4 2.7249 1.2452 2.6902 5.8389
1  13  Alpha  O1 0.6962 0.9734 2.8444 4.1831
1  13  Alpha  O2 2.8368 1.5507 2.5687 6.2715
1  13  Alpha  P7 8.9377 1.5085 3.4788 10.2682
1  13  Alpha  P8 17.422 1.3652 6.9523 13.0342
1  13  Alpha  T7 19.4437 1.456 7.5315 14.768
1  13  Alpha  T8 1.2693 1.2289 2.0314 4.6993
1  13  Beta  Cz 1.2145 1.5177 4.7921 9.4903
1  13  Beta  Fz 0.4184 1.5471 1.6986 3.9585
1  13  Beta  FC1 1.0238 1.3882 5.2292 8.5209
1  13  Beta  FC2 3.6843 1.3923 8.6025 15.2278
1  13  Beta  Fp1 10.8646 1.7272 7.9341 18.1694
1  13  Beta  Fp2 8.4044 1.5013 12.94 22.856
1  13  Beta  F3 1.3706 1.5661 3.4481 6.1569
1  13  Beta  F4 0.8721 1.5429 2.7036 5.1471
1  13  Beta  O1 0.3441 1.5227 0.7015 2.4101
1  13  Beta  O2 0.7923 1.7254 2.5722 6.003
1  13  Beta  P7 3.2395 1.7925 4.3065 10.4846
1  13  Beta  P8 3.9738 1.5783 6.9808 12.764
1  13  Beta  T7 4.2414 1.5995 7.5961 15.3234
1  13  Beta  T8 1.148 1.5463 1.9726 3.8724
1  13  Gamma  Cz 0.6986 1.7303 2.9545 7.9347
1  13  Gamma  Fz 0.1758 1.8167 1.345 3.4528
1  13  Gamma  FC1 0.3727 1.5777 3.8827 7.6235
1  13  Gamma  FC2 2.2851 1.6861 6.5384 13.7969
1  13  Gamma  Fp1 9.2448 1.8179 6.491 17.5845
1  13  Gamma  Fp2 8.1198 1.757 9.8881 21.0258
1  13  Gamma  F3 0.394 1.7843 2.6421 5.758
1  13  Gamma  F4 0.5052 1.8574 2.0723 5.099
1  13  Gamma  O1 0.0596 1.4784 1.9869 3.0938
1  13  Gamma  O2 0.8365 1.917 1.9696 5.9313
1  13  Gamma  P7 2.8851 1.8954 3.5919 10.2608
1  13  Gamma  P8 2.7915 1.7953 5.3483 11.8673
1  13  Gamma  T7 4.3874 1.824 5.8263 13.6494
